Depth_m,Cast,NH4_oxi_nM_N/d,Error,NO3_reduction_nM_N/d,Error,Xin_NO2_oxi_rate_nM/d,se,AMX_Rate_nM_N2/day,Error,DN_Rate_nM_N2/day,Error
60,32,0.0293,0.0079,0.1,0,1.427987852,1.211558826,0,0,0,0
75,32,2.7476,0.9398,7.1,1.4,13.87579557,9.518334906,0,0,0,0
95,32,0.9789,0.0802,26.8,9,17.98929238,0.320690494,0,0,0,0
120,32,0.0093,0.0038,0,0,24.37622284,13.44217274,1.179374656,0.85699978,0,0
150,32,0.0024,0.0012,51.2,16,21.25080005,7.233892186,2.854311418,2.337153307,0,0
200,45,0.0025,0.0006,128.3,30.2,1.172547348,1.965248486,1.562689783,0.458120338,7.152485966,2.453066031
250,45,0,0,17.8,3.7,5.506267651,5.214387665,4.174561176,1.146530445,3.346129037,2.00275845
300,45,0,0,13.8,8.3,0.054555158,3.224219201,0,0,1.59891918,0.580567409
500,45,0.0005,0.0001,29.9,3.3,4.972455385,0.349694242,0.185983611,0.106085597,0,0
850,45,0,0,6.8,1.6,0.840176274,0.217727089,4.493227995,1.356251864,0,0